player_name,matches_played,role,total_runs,career_average,career_strike_rate,total_wickets,career_economy,total_4s,total_6s,runs_last_7,avg_last_7,strike_rate_last_7,wickets_last_7,economy_last_7,4s_6s_last_7,dot_ball_pct_last_7,player_consistency_score
VR Aaron,50,Bowler,50,1.0,68.49,44,8.6,2,2,31,2.82,73.81,2,11.15,3,34.46,15.55
CJ Anderson,30,Batsman,538,17.93,123.39,11,10.0,40,31,39,5.57,76.47,0,0.0,4,50.98,18.34
F du Plessis,141,Batsman,4652,32.99,133.3,0,16.0,428,171,167,20.88,136.89,0,0.0,23,36.07,47.98
RA Tripathi,98,Batsman,2291,23.38,134.21,0,12.0,229,85,101,12.62,114.77,0,0.0,15,40.91,35.24
NV Ojha,94,Batsman,1554,16.53,114.26,0,0.0,121,79,87,12.43,111.54,0,0.0,6,29.49,30.55
V Shankar,69,Batsman,1233,17.87,125.18,9,8.0,88,48,144,10.29,126.32,3,8.41,16,27.55,39.98
Mustafizur Rahman,57,Bowler,13,0.23,56.52,61,7.95,0,1,13,1.0,56.52,8,9.02,1,35.86,26.96
UT Yadav,147,Bowler,208,1.41,98.58,144,8.35,16,9,31,2.58,88.57,8,9.81,2,42.07,30.27
C de Grandhomme,25,All-rounder,303,12.12,132.31,6,8.43,18,18,91,11.38,121.33,1,10.15,11,25.49,20.86
I Sharma,115,Bowler,57,0.5,80.28,95,8.11,4,2,20,1.54,80.0,7,9.47,3,32.68,24.78
V Kohli,254,Batsman,8406,33.09,129.03,4,8.43,743,286,302,21.57,142.45,0,0.0,38,24.53,69.92
S Badree,12,Bowler,13,1.08,52.0,11,7.51,0,0,13,1.86,52.0,9,7.59,0,42.05,32.94
Ankit Sharma,21,Bowler,87,4.14,126.09,12,7.25,7,4,70,7.0,120.69,2,8.16,9,31.69,20.62
SN Thakur,102,Bowler,321,3.15,133.2,106,8.93,29,13,35,3.18,112.9,6,10.45,5,27.32,22.6
LH Ferguson,49,Bowler,72,1.47,146.94,53,8.67,7,2,71,5.46,147.92,9,8.63,9,30.73,30.09
AJ Tye,30,Bowler,91,3.03,115.19,42,8.45,6,5,25,2.08,89.29,4,10.82,4,28.49,20.62
RA Jadeja,241,Bowler,3125,12.97,124.21,166,7.59,225,113,124,17.71,124.0,6,7.56,12,28.43,22.16
SS Iyer,123,Batsman,3419,27.8,126.12,0,7.0,290,134,139,17.38,154.44,0,7.0,18,29.17,44.2
KC Cariappa,11,Bowler,24,2.18,114.29,8,9.35,0,2,24,3.0,114.29,4,10.01,2,27.91,18.54
EJG Morgan,74,Batsman,1406,19.0,119.05,0,0.0,112,64,26,3.71,72.22,0,0.0,2,41.67,14.38
Ishan Kishan,108,Batsman,2827,26.18,133.47,0,24.0,274,126,77,9.62,104.05,0,24.0,9,34.67,26.98
MM Patel,63,Bowler,39,0.62,95.12,74,7.52,5,0,11,0.85,55.0,5,8.14,0,36.16,27.42
JD Unadkat,107,Bowler,197,1.84,115.88,102,8.78,16,7,34,2.83,97.14,3,8.14,4,31.97,23.61
AF Milne,10,Bowler,23,2.3,74.19,7,9.37,0,1,23,2.88,74.19,3,9.28,1,35.47,22.37
AD Mathews,46,All-rounder,724,15.74,120.87,27,8.14,44,29,83,10.38,109.21,2,8.02,9,31.77,25.21
Mohammed Shami,118,Bowler,84,0.71,90.32,133,8.44,7,2,16,1.6,76.19,5,10.68,2,31.58,21.25
NM Coulter-Nile,38,Bowler,82,2.16,109.33,48,7.57,7,4,42,3.82,135.48,9,7.55,6,38.58,31.72
Mohammad Nabi,24,Bowler,221,9.21,140.76,15,7.55,18,12,55,6.11,137.5,2,9.33,7,25.0,18.4
BB Sran,24,Bowler,10,0.42,71.43,18,8.92,0,0,10,1.0,71.43,4,10.24,0,29.94,20.36
S Kaul,55,Bowler,20,0.36,55.56,58,8.59,1,0,11,0.92,44.0,4,8.89,1,41.53,24.6
KS Williamson,76,Batsman,2132,28.05,122.95,0,10.33,187,64,100,11.11,93.46,0,0.0,12,47.66,28.88
J Yadav,20,All-rounder,40,2.0,105.26,8,6.74,2,1,40,4.44,105.26,3,7.09,3,36.46,27.58
Mohammed Siraj,101,Bowler,109,1.08,89.34,105,8.36,10,4,43,3.07,97.73,12,7.83,7,45.98,37.57
SE Marsh,69,Batsman,2489,36.07,130.11,0,0.0,269,78,238,34.0,134.46,0,0.0,36,32.2,60.22
Shakib Al Hasan,71,Bowler,795,11.2,119.55,63,7.38,73,21,56,6.22,91.8,3,6.95,4,29.38,23.73
JP Faulkner,60,Bowler,527,8.78,129.8,61,8.62,36,23,61,7.62,92.42,6,10.82,4,26.6,21.56
MG Johnson,54,Bowler,167,3.09,99.4,62,8.02,10,7,42,3.82,89.36,5,9.52,4,35.29,24.4
K Rabada,82,Bowler,213,2.6,100.0,122,8.38,16,9,33,3.3,113.79,4,9.71,4,26.8,20.65
Washington Sundar,62,Bowler,429,6.92,114.71,39,7.59,37,11,110,12.22,120.88,6,9.42,13,27.19,20.57
SS Agarwal,1,Bowler,0,0.0,0.0,1,10.5,0,0,0,0.0,0.0,1,10.5,0,29.17,26.75
NB Singh,2,All-rounder,0,0.0,0.0,1,4.32,0,0,0,0.0,0.0,1,4.32,0,52.0,20.12
AD Nath,10,All-rounder,90,9.0,90.91,0,0.0,7,2,70,10.0,97.22,0,0.0,8,43.06,13.21
KV Sharma,84,Bowler,351,4.18,114.71,79,8.42,20,17,39,3.25,114.71,7,11.09,5,27.4,22.94
DM Bravo,1,All-rounder,6,6.0,120.0,0,0.0,1,0,6,6.0,120.0,0,0.0,1,40.0,17.4
Ankit Soni,6,All-rounder,7,1.17,77.78,2,7.77,0,1,7,1.17,77.78,2,7.77,1,34.71,18.06
AR Bawne,1,All-rounder,12,12.0,100.0,0,0.0,1,0,12,12.0,100.0,0,0.0,1,33.33,18.3
SP Jackson,8,All-rounder,61,7.62,107.02,0,0.0,5,1,49,7.0,94.23,0,0.0,4,38.46,12.02
Anureet Singh,22,Bowler,36,1.64,76.6,18,8.87,2,1,36,3.0,81.82,1,9.36,3,28.15,17.12
MJ Guptill,13,Batsman,271,20.85,137.56,0,0.0,24,15,130,21.67,146.07,0,0.0,18,41.57,44.17
IK Pathan,102,Bowler,1150,11.27,116.75,80,7.7,88,38,58,5.8,93.55,1,8.95,4,30.68,20.23
PJ Sangwan,42,Bowler,26,0.62,55.32,38,8.4,1,0,14,1.27,63.64,5,8.72,1,40.0,27.4
MN Samuels,15,Bowler,161,10.73,92.53,9,7.81,9,7,38,3.45,74.51,7,8.98,4,39.08,26.04
LMP Simmons,29,Batsman,1079,37.21,122.89,1,11.33,109,44,137,17.12,118.1,0,0.0,18,41.38,38.52
R Tewatia,84,All-rounder,1054,12.55,129.96,32,7.74,87,51,80,5.71,163.27,0,10.92,13,28.28,25.03
MJ Henry,6,All-rounder,0,0.0,0.0,2,10.46,0,0,0,0.0,0.0,2,10.46,0,29.52,9.04
SS Tiwary,73,Batsman,1494,20.47,115.72,0,0.0,111,50,155,22.14,114.81,0,0.0,17,30.37,41.22
R Vinay Kumar,104,Bowler,310,2.98,107.27,105,8.35,21,9,23,2.09,92.0,8,9.45,2,37.5,27.78
